annee,motif,sous_motif,n_signalements
2014,,,89
2015,,,121
2016,,,151
2017,,,129
2018,,,219
2019,signalement_effectif,,146
2019,demande_conseil,,56
2020,signalement_effectif,harcelement_moral_au_travail,107
2020,signalement_effectif,harcelement_sexuel,10
2020,signalement_effectif,discriminations,26
2020,signalement_effectif,violences,1
2020,signalement_effectif,autres,14
2020,demande_conseil,,84
2021,signalement_effectif,harcelement_moral_au_travail,137
2021,signalement_effectif,harcelement_sexuel,14
2021,signalement_effectif,discriminations,19
2021,signalement_effectif,violences,3
2021,signalement_effectif,autres,9
2021,demande_conseil,,71
